IHITEM_ItemNumber,IHTRNT_TransactionType,IHCUST_CustomerCode,CALPHA_CustomerName,SALES_REP_ID_SalesmanCode
50002,IN,199,"CONROE MACHINE                     ",110
50007,IN,907,"BAKER HUGHES                       ",110
50007,IN,106,"BENOIT CONNECTORS                  ",109
50007,IN,302,"PACKERS PLUS CAN                   ",199
50009,IN,1024,"SUPERIOR DRILLING SOLUTIONS LLC    ",199
50010,IN,994,"HALLIBURTON MFG MALAYSIA           ",199
50013,IN,1226,"BULLDOG TOOL INC                   ",157
50013,IN,317,"GULF COAST METAL SALES             ",199
50013,IN,783,"OEM COMPONENTS INC                 ",157
50013,IN,130,"RONAL EQUIPMENT INC                ",157
50015,IN,488,"HOWCO METALS MANAGEMENT LLC        ",199
50015,IN,195,"K & B INDUSTRIES                   ",106
50017,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50018,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50020,IN,606,"MACRO TEX MACHINE WORKS LLC        ",110
50024,IN,236,"CROMDANE STEEL INC                 ",199
50025,IN,381,"BLUELINE MANUFACTURING LLC         ",109
50025,IN,753,"HALLIBURTON SINGAPORE              ",199
50027,IN,227,"FAITH MANUFACTURING CO INC         ",110
50027,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50029,CR,503,"ASAP INDUSTRIES MANUFACTURING LLC  ",109
50029,IN,157,"NORQUEST INDUSTRIES INC            ",120
50035,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50038,IN,381,"BLUELINE MANUFACTURING LLC         ",109
50038,IN,725,"INNOVEX DOWNHOLE SOLUTIONS INC     ",110
50040,IN,307,"D & L OIL TOOLS                    ",110
50043,IN,539,"SCHLUMBERGER SINGAPORE             ",199
50045,IN,1113,"DELTA SOLUTIONS TEXAS LLC          ",199
50045,IN,157,"NORQUEST INDUSTRIES INC            ",120
50045,IN,728,"VAM USA LLC                        ",109
50046,IN,1268,"3D MANUFACTURING INC               ",109
50046,IN,106,"BENOIT CONNECTORS                  ",109
50047,IN,381,"BLUELINE MANUFACTURING LLC         ",109
50047,IN,209,"HOU-TECH MANUFACTURING LLC         ",157
50047,IN,116,"STEWART TUBULAR PRODUCTS INC       ",110
50047,IN,622,"SUPERIOR THREADED PRODUCTS INC     ",157
50053,IN,736,"W74 OIL TOOLS                      ",157
50054,IN,907,"BAKER HUGHES                       ",110
50055,IN,195,"K & B INDUSTRIES                   ",106
50059,IN,149,"PATRIOT PREMIUM THREADING SERVICES ",157
50060,IN,1006,"AGL MACHINE WORKS                  ",109
50060,IN,1070,"ALLEN INDUSTRIES                   ",157
50060,IN,362,"OILFIELD SRVCS & TECHNOLOGIES LLC  ",157
50066,IN,691,"KEYSTONE MFG                       ",157
50066,IN,212,"TRIG MACHINE INC                   ",110
50066,IN,605,"TRIPLE J COIL TUBING PRODUCTS LLC  ",110
50069,IN,131,"CNC MANUFACTURING                  ",110
50069,IN,773,"TURN TEC MACHINE                   ",199
50070,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50071,IN,277,"CONDOR MACHINERY                   ",120
50071,IN,419,"FRONTIER OIL TOOLS LLC             ",157
50075,IN,163,"ANVIL MACHINE LTD                  ",120
50075,IN,228,"CROSSOVER INC                      ",109
50075,IN,901,"KIRBY PRECISION MACHINE LLC        ",110
50075,IN,157,"NORQUEST INDUSTRIES INC            ",120
50076,IN,737,"GENERAL PLASTICS & COMPOSITES LP   ",157
50081,IN,1226,"BULLDOG TOOL INC                   ",157
50081,IN,901,"KIRBY PRECISION MACHINE LLC        ",110
50082,IN,1131,"NORTHERN OIL TOOLS INC             ",120
50088,IN,286,"OLYMPIAN MACHINE LLC               ",109
50091,IN,860,"BRAVO MACHINING LLC                ",157
50091,IN,561,"US STEEL OILWELL SERVICES LLC      ",157
50092,IN,279,"CUSTOM THREADING INC               ",110
50092,IN,468,"MATHERNE INSTRUMENTATION LLC       ",109
50093,IN,172,"M & R MANUFACTURING LLC            ",110
50095,IN,195,"K & B INDUSTRIES                   ",106
50095,IN,550,"METALCRAFT MANUFACTURING LLC       ",109
50095,IN,828,"OEM MACHINING LLC                  ",157
50096,IN,223,"PACKERS PLUS USA                   ",110
50096,IN,116,"STEWART TUBULAR PRODUCTS INC       ",110
50097,IN,907,"BAKER HUGHES                       ",110
50097,IN,557,"CITADEL CASING SOLUTIONS LLC       ",110
50097,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50097,IN,966,"LE PRECISION MANUFACTURING         ",157
50097,IN,223,"PACKERS PLUS USA                   ",110
50097,CR,592,"STEEL ALLOYS & SVCS                ",199
50097,IN,592,"STEEL ALLOYS & SVCS                ",199
50098,IN,907,"BAKER HUGHES                       ",110
50098,IN,381,"BLUELINE MANUFACTURING LLC         ",109
50098,IN,131,"CNC MANUFACTURING                  ",110
50098,IN,157,"NORQUEST INDUSTRIES INC            ",120
50098,IN,212,"TRIG MACHINE INC                   ",110
50098,IN,1044,"UNITY FABRICATION LLC              ",157
50099,IN,907,"BAKER HUGHES                       ",110
50102,IN,102,"HUNTING ENERGY SERVICES            ",106
50102,IN,157,"NORQUEST INDUSTRIES INC            ",120
50102,IN,223,"PACKERS PLUS USA                   ",110
50102,IN,694,"VU ENTERPRISE INC                  ",157
50104,IN,157,"NORQUEST INDUSTRIES INC            ",120
50108,IN,557,"CITADEL CASING SOLUTIONS LLC       ",110
50108,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50108,IN,753,"HALLIBURTON SINGAPORE              ",199
50108,IN,209,"HOU-TECH MANUFACTURING LLC         ",157
50108,IN,102,"HUNTING ENERGY SERVICES            ",106
50108,IN,116,"STEWART TUBULAR PRODUCTS INC       ",110
50109,IN,157,"NORQUEST INDUSTRIES INC            ",120
50111,IN,103,"EASTMAN-BOOTH INC                  ",199
50111,IN,550,"METALCRAFT MANUFACTURING LLC       ",109
50111,IN,286,"OLYMPIAN MACHINE LLC               ",109
50111,IN,223,"PACKERS PLUS USA                   ",110
50113,IN,1091,"CYPRESS MACHINE SHOP INC           ",109
50113,IN,209,"HOU-TECH MANUFACTURING LLC         ",157
50113,IN,157,"NORQUEST INDUSTRIES INC            ",120
50113,IN,270,"VALLEY PERFORATING CO              ",157
50114,IN,1091,"CYPRESS MACHINE SHOP INC           ",109
50114,IN,157,"NORQUEST INDUSTRIES INC            ",120
50114,IN,573,"T&A PRECISION MACHINE INC          ",110
50114,IN,486,"TOMAHAWK DOWNHOLE LLC              ",109
50116,IN,209,"HOU-TECH MANUFACTURING LLC         ",157
50117,IN,1053,"ABACO DRILLING TECHNOLOGIES        ",110
50117,IN,550,"METALCRAFT MANUFACTURING LLC       ",109
50118,IN,157,"NORQUEST INDUSTRIES INC            ",120
50119,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50119,IN,725,"INNOVEX DOWNHOLE SOLUTIONS INC     ",110
50119,IN,157,"NORQUEST INDUSTRIES INC            ",120
50120,IN,157,"NORQUEST INDUSTRIES INC            ",120
50122,IN,333,"MAGNUM MACHINE & MFG               ",157
50129,IN,496,"CASTLE                             ",120
50130,IN,215,"MAVERICK INTERNATIONAL LTD         ",110
50133,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50137,IN,170,"AMERICAN PIPING PRODUCTS           ",199
50137,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50142,IN,464,"HIGH TECH MACHINE                  ",157
50143,IN,131,"CNC MANUFACTURING                  ",110
50143,IN,725,"INNOVEX DOWNHOLE SOLUTIONS INC     ",110
50144,IN,157,"NORQUEST INDUSTRIES INC            ",120
50144,IN,566,"WEATHERFORD US LP                  ",110
50145,IN,557,"CITADEL CASING SOLUTIONS LLC       ",110
50145,IN,725,"INNOVEX DOWNHOLE SOLUTIONS INC     ",110
50145,IN,343,"J-HOBBS MACHINE CORP               ",157
50145,IN,157,"NORQUEST INDUSTRIES INC            ",120
50146,IN,1268,"3D MANUFACTURING INC               ",109
50146,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50147,IN,408,"OILFIELD STEEL SUPPLY              ",199
50147,IN,612,"TEXAS SHAPES LLC                   ",157
50148,IN,725,"INNOVEX DOWNHOLE SOLUTIONS INC     ",110
50148,IN,157,"NORQUEST INDUSTRIES INC            ",120
50155,IN,860,"BRAVO MACHINING LLC                ",157
50155,IN,179,"LIBERTY PRECISION COMPANY LLC      ",110
50159,IN,1226,"BULLDOG TOOL INC                   ",157
50159,IN,737,"GENERAL PLASTICS & COMPOSITES LP   ",157
50159,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50159,IN,901,"KIRBY PRECISION MACHINE LLC        ",110
50159,IN,333,"MAGNUM MACHINE & MFG               ",157
50159,IN,157,"NORQUEST INDUSTRIES INC            ",120
50159,IN,116,"STEWART TUBULAR PRODUCTS INC       ",110
50160,IN,375,"MANA COMPLETION SYSTEMS LLC        ",109
50160,IN,828,"OEM MACHINING LLC                  ",157
50160,IN,1329,"QSD MANUFACTURING INC              ",157
50161,IN,381,"BLUELINE MANUFACTURING LLC         ",109
50161,IN,102,"HUNTING ENERGY SERVICES            ",106
50161,IN,1381,"LIBERTY LIFT SOLUTIONS LLC         ",109
50161,IN,550,"METALCRAFT MANUFACTURING LLC       ",109
50162,IN,610,"ABCD PRECISION INC                 ",157
50162,IN,996,"GENESIS MFG LLC                    ",157
50162,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50162,IN,901,"KIRBY PRECISION MACHINE LLC        ",110
50162,IN,1381,"LIBERTY LIFT SOLUTIONS LLC         ",109
50162,IN,517,"NATIONAL OILWELL U.S. AFTER MARKET ",110
50162,IN,1064,"SPINDLETOP MACHINE WORKS & TECH    ",157
50164,IN,867,"ORION MACHINING AND DESIGN INC     ",120
50164,IN,407,"TRI CITY PIPE & MACHINE LLC        ",109
50165,IN,1226,"BULLDOG TOOL INC                   ",157
