TableName,Column3,Rowcount,Prefix1,Suffix1,suffix2,suffix3,InferredName,Column1,TableCode,,Status,ProcessedTableCode,ProcessedTableName,Group,Prefix,Suffix1,Suffix2,Suffix3,Description
z_Output_file_for_DSPFD_TYPE(*MBRLIST)_____$DSPFDA, ,1496,,,,,,,$DSPFDA,,ok,$DSPFDA,z_Output_file_for_DSPFD_TYPE(*MBRLIST)_____$DSPFDA,System Tools,$,DSPFD,A,,Output file for system display
z_Vendor_ACH_Bank_Info_____ACHINFO, ,199,ACH,INFO,,,vendor ACH Info,,ACHINFO,,ok,ACHINFO,z_Vendor_ACH_Bank_Info_____ACHINFO,Vendor Management,ACH,INFO,,,Vendor ACH Information
z_Additional_Charge_Federal_Tax_File_____ADDCFTAX, ,4,ADD,C,F,TAX,ADDitional CHaRGe Federal TAX file,,ADDCFTAX,,ok,ADDCFTAX,z_Additional_Charge_Federal_Tax_File_____ADDCFTAX,Additional Charges,ADD,C,F,TAX,Additional Charge Federal Tax
z_Additional_Charge_Code_File_____ADDCHRG, ,32,ADD,CHRG,,,ADDitional CHaRGe,,ADDCHRG,,ok,ADDCHRG,z_Additional_Charge_Code_File_____ADDCHRG,Additional Charges,ADD,CHRG,,,Additional Charge Codes
z_Additional_Charge_Provincial_Tax_File_____ADDCPTAX, ,3,ADD,C,P,TAX,ADDitional Charge Provincial Tax,,ADDCPTAX,,ok,ADDCPTAX,z_Additional_Charge_Provincial_Tax_File_____ADDCPTAX,Additional Charges,ADD,C,P,TAX,Additional Charge Provincial Tax
z_Additional_Charge_Transaction_File_____ADDCTRAN, ,33,ADD,C,TRAN,,Additional Charge Transaction,,ADDCTRAN,,ok,ADDCTRAN,z_Additional_Charge_Transaction_File_____ADDCTRAN,Additional Charges,ADD,C,TRAN,,Additional Charge Transactions
z_AP_Discrepancy_file_-_AP801_report_____AP801WF, ,166,AP,801,WF,,AccountsPayable 801 WorkFile,,AP801WF,,ok,AP801WF,z_AP_Discrepancy_file_-_AP801_report_____AP801WF,Accounts Payable,AP,801,WF,,AP Report 801 Work File
z_AP_Discrepancy_file_-_AP803_report_____AP803WF, ,789,AP,803,WF,,AccountsPayable 803 WorkFile,,AP803WF,,ok,AP803WF,z_AP_Discrepancy_file_-_AP803_report_____AP803WF,Accounts Payable,AP,803,WF,,AP Report 803 Work File
z_Bank_Disbursement_Master_____APBANKCD, ,8,AP,BANK,CD,,AccountsPayable BANK CoDe,,APBANKCD,,ok,APBANKCD,z_Bank_Disbursement_Master_____APBANKCD,Accounts Payable,AP,BANK,CD,,AP Bank Code
z_A/P_Check_History_____APCHKH, ,27057,AP,CHK,H,,AccountsPayable CHecKHistory,,APCHKH,,ok,APCHKH,z_A/P_Check_History_____APCHKH,Accounts Payable,AP,CHK,H,,AP Check History
z_A/P_Check_Reconcilement_file_____APCHKR, ,10,AP,CHK,R,,AccountsPayable CHecK Reconcilement,,APCHKR,,ok,APCHKR,z_A/P_Check_Reconcilement_file_____APCHKR,Accounts Payable,AP,CHK,R,,AP Check Reconcilement
z_A/P_Debit_Detail_File_____APDEBD, ,81,AP,DEB,D,,AccountsPayable Debit Detail,,APDEBD,,ok,APDEBD,z_A/P_Debit_Detail_File_____APDEBD,Accounts Payable,AP,DEB,D,,AP Debit Detail
z_A/P_Debit_Header_File_____APDEBH, ,79,AP,DEB,H,,AccountsPayable Debit Header,,APDEBH,,ok,APDEBH,z_A/P_Debit_Header_File_____APDEBH,Accounts Payable,AP,DEB,H,,AP Debit Header
z_A/P_G/L_Distribution_File_____APDIST, ,165535,AP,DIST,,,AccountsPayable Distribution,,APDIST,,ok,APDIST,z_A/P_G/L_Distribution_File_____APDIST,Accounts Payable,AP,GL,DIST,,AP G/L Distribution
z_A/P_EDI_transaction_selection_____APEDITR, ,202,AP,EDI,TR,,AccountsPayable EDI Transaction,,APEDITR,,ok,APEDITR,z_A/P_EDI_transaction_selection_____APEDITR,Accounts Payable,AP,EDI,TR,,AP EDI Transaction
z_A/P_Handling_Code_File_____APHCOD, ,2,AP,H,COD,,AccountsPayable Handling CODe,,APHCOD,,ok,APHCOD,z_A/P_Handling_Code_File_____APHCOD,Accounts Payable,AP,H,COD,,AP Handling Code
z_A/P_History_____APHIST, ,152136,AP,HIST,,,AccountsPayable History,,APHIST,,ok,APHIST,z_A/P_History_____APHIST,Accounts Payable,AP,HIST,,,AP History
z_A/P_Inventory_Reconciliation_File_____APINV, ,9876,AP,INV,C,,AccountsPayable Inventory,,APINV,,ok,APINVC,z_A/P_Invoice_Control_File_____APINVC,Accounts Payable,AP,INV,C,,AP Invoice Control
z_A/P_Open_Payable_File_____APOPEN, ,151611,AP,OPEN,,,AccountsPayable Open,,APOPEN,,ok,APOPEN,z_A/P_Open_Payable_File_____APOPEN,Accounts Payable,AP,OPEN,,,AP Open Payables
z_A/P_Processor_Voucher_Data_File_____APPRC, ,159,AP,PRC,,,AccountsPayable Processor,,APPRC,,ok,APPRC,z_A/P_Processor_Voucher_Data_File_____APPRC,Accounts Payable,AP,PRC,,,AP Processor
z_Vendor_Master_File_____APVEND, ,730,AP,VEND,,,AccountsPayable Vendor,,APVEND,,ok,APVEND,z_A/P_Vendor_Master_File_____APVEND,Accounts Payable,AP,VEND,,,AP Vendor Master
z_A/P_Vendor_History_Exchange_File_____APVHEXC, ,4,AP,V,H,EXC,AccountsPayableHistoryExchange,,APVHEXC,,ok,APVHEXC,z_A/P_Vendor_History_Exchange_File_____APVHEXC,Accounts Payable,AP,V,H,EXC,AP Vendor History Exchange
z_Vendor_Master_History_File_____APVNDHST, ,731,AP,VND,HST,,AccountsPayableVendorHistory,,APVNDHST,,ok,APPROFL,z_A/P_Profile_____APPROFL,Accounts Payable,AP,PROFL,,,AP Profile
z_A/P_Void_File_-_(Checks_to_be_voided)_____APVOID, ,316,AP,VOID,,,AccountsPayable Void,,APVOID,,ok,APVOID,z_A/P_Void_File_____APVOID,Accounts Payable,AP,VOID,,,AP Void
z_A/P_Check_Register_Work_File_____APWK856, ,1,AP,WK,856,,AccountsPayable WorkFile,,APWK856,,ok,APWK856,z_A/P_Check_Register_Work_File_____APWK856,Accounts Payable,AP,WK,856,,AP Work File 856
z_AR_Profile_BOL_comments_____ARBOLCM, ,8,AR,BOL,CM,,AccountsReceivable BillOfLading Comments,,ARBOLCM,,Missing,,,,,,,,
z_A/R_Batch_Header_for_A/R_Detail_File_____ARBTCH, ,20319,AR,BTCH,,,AccountsReceivable Batch Header,,ARBTCH,,ok,ARBTCH,z_A/R_Cash_Receipts_Distribution_-_Batch_____ARBTCH,Accounts Receivable,AR,BTCH,,,AR Batch
z_A/R_Cash_Receipts_____ARCASH, ,46261,AR,CASH,,,AccountsReceivable Cash,,ARCASH,,ok,ARCASH,z_A/R_Cash_Receipts_____ARCASH,Accounts Receivable,AR,CASH,,,AR Cash Receipts
z_AR/Customer_History_Exchange_File_____ARCHEXC, ,272,AR,C,H,EXC,AccountsReceivable Customer History Exchange,,ARCHEXC,,ok,ARCHEXC,z_AR/Customer_History_Exchange_File_____ARCHEXC,Accounts Receivable,AR,CH,EXC,,AR Customer History Exchange
z_Changed_Customer_Log_____ARCUSCHG, ,4097,AR,CUS,CHG,,AccountsReceivable Customer Change,,ARCUSCHG,,Missing,,,,,,,,
z_Customer_Master_History_File_____ARCUSHST, ,1279,AR,CUS,HST,,AccountsReceivable Customer History,,ARCUSHST,,Missing,,,,,,,,
