(No column name),Record_Code_____OORECD,Order_Type_____ODTYPE,ITEM_NUMBER_____ODITEM,Transaction_#_____ODORDR,CUSTOMER_NUMBER_____OOCUST,Customer_Alpha_Name_____CALPHA,TOTAL_LBS_____ODTLBS,TOTAL_FTS_____ODTFTS,(No column name),(No column name)
ROP - Sales data Query,A,A,51947,971930.0,1061.0,LONGHORN MACHINE SHOP & MFG LLC    ,847.83199999999999,72.917000000000002,20250507,157
ROP - Sales data Query,A,A,50162,971929.0,189.0,HALLIBURTON ENERGY SERVICES        ,482.27600000000001,10.0,20250507,106
ROP - Sales data Query,A,A,50162,971928.0,189.0,HALLIBURTON ENERGY SERVICES        ,482.27600000000001,10.0,20250507,106
ROP - Sales data Query,A,A,51126,971927.0,753.0,HALLIBURTON SINGAPORE              ,8.6240000000000006,1.708,20250507,199
ROP - Sales data Query,A,A,50719,971926.0,753.0,HALLIBURTON SINGAPORE              ,12.01,1.4690000000000001,20250507,199
ROP - Sales data Query,A,A,50159,971925.0,753.0,HALLIBURTON SINGAPORE              ,42.098999999999997,1.208,20250507,199
ROP - Sales data Query,A,A,51129,971924.0,592.0,STEEL ALLOYS & SVCS                ,24.030000000000001,1.333,20250507,199
ROP - Sales data Query,A,A,52083,971923.0,592.0,STEEL ALLOYS & SVCS                ,565.673,21.728999999999999,20250507,199
ROP - Sales data Query,A,A,51199,971922.0,753.0,HALLIBURTON SINGAPORE              ,89.573999999999998,1.333,20250507,199
ROP - Sales data Query,A,A,50253,971921.0,157.0,NORQUEST INDUSTRIES INC            ,1646.5239999999999,19.271000000000001,20250507,120
